Section Seq,Section Title,Item Type,Content Seq,Author Name,Author,Issue,Issue Sort Key,Post Date,Path,Content Title,Title for Sort,Page Heading,Subtitle,Tags,Teaser,Image,Alt,lastmod,changefreq,priority,,,,,,,,,
5,Blog,Blog Post,1,Herb Bowie,hbowie,,,2009-10-22,blog/hbowie/,Developmental Levels,developmental levels,Developmental Levels,,"integral, cultural evolution","A number of authors and systems of thought espouse one or another series of developmental levels, in fields of study as diverse as psychology, sociology, economics and organizational development.",,,,,,,,,,,,,,
5,Blog,Blog Post,1,Herb Bowie,hbowie,,,2013-12-15,blog/hbowie/,Human Nature,human nature,Human Nature,,"evolution, humanism, cultural evolution, stories","What does it mean to be human? This must certainly be a foundational question for all of us, when  contemplating almost any aspect of our existence. And while any brief answer to this question must admittedly be no more than a starting point for further discussion, I think it perhaps worthwhile to provide such a beginning. And so, here they are: the primary traits we share that I think make us uniquely human. ",,,,,,,,,,,,,,
5,Blog,Blog Post,1,Herb Bowie,hbowie,,,2012-02-21,blog/hbowie/,Reasons for Belief,reasons for belief,Reasons for Belief,,"critical thinking, religion","We often seem to assume that people say things, and come to believe them, because they are true. It seems to me, though, that people take up beliefs for a whole host of reasons, and the likely truth or falsehood of these statements is often the least of the motivating factors at work. Here then, are the multifarious reasons why people may choose to believe something.",,,,,,,,,,,,,,
5,Blog,Blog Post,1,Herb Bowie,hbowie,,,2014-11-27,blog/hbowie/,"Religion, Storytelling and Art","religion, storytelling and art","Religion, Storytelling and Art",,"humanism, science, written word, cultural evolution, democracy, religion",Religion can be thought of as a collection of shared cultural artifacts that provide a sense of meaning about human existence.,,,,,,,,,,,,,,
5,Blog,Blog Post,1,Herb Bowie,hbowie,,,2012-08-04,blog/hbowie/,Religious Freedom,religious freedom,Religious Freedom,,"written word, critical thinking, religion, love, balance","When it comes to religion, I have to confess to being a bit of a mongrel. My mother was a Methodist. My father was a nudist. And I once called myself an immortalist. These days I choose not to align myself with any particular religious group.",,,,,,,,,,,,,,
5,Blog,Blog Post,1,Herb Bowie,hbowie,,,2012-10-26,blog/hbowie/,The Four Quadrants of Human Knowledge,four quadrants of human knowledge,The Four Quadrants of Human Knowledge,,integral,"I first came across Ken Wilber's work late in the last century when a friend handed me a copy of <cite>A Brief History of Everything</cite> as a birthday present. Wilber has described four quadrants of human knowledge, each representing a different and valid perspective on the same reality.",,,,,,,,,,,,,,
5,Blog,Blog Post,1,Herb Bowie,hbowie,,,2012-03-10,blog/hbowie/,The Nature of God,nature of god,The Nature of God,,"critical thinking, religion","Human records indicate that some sort of belief in a God or collection of gods is a feature of almost all human culture. No matter what the continent or age, a belief in powerful, supernatural beings that somehow influence human existence is a near-constant. At the same time, though, many skeptics have persistently questioned the existence of such a being, and beliefs about the attributes of God have exhibited wide variation, with such variations often being so deeply held that wars have been fought to advance one sort of belief over another. Rather than approach the question of God's existence directly, it seems wiser to ask ourselves how we can best explain the facts above -- the combination of a nearly universal human belief in God, combined with so far irreconcilable differences in what sort of God we believe in. ",,,,,,,,,,,,,,
5,Blog,Blog Post,1,Herb Bowie,hbowie,,,2011-08-15,blog/hbowie/,The Systemic Era,systemic era,The Systemic Era,,"cultural evolution, systemic","We tend to divide up human history into relatively neat periods, and give them names like ""The Agrarian Era,"" ""The Age of Industrialization"" and ""The Information Age."" When I look at what's going on around me today and try to make sense of it, I am forced to draw the conclusion that we are deep into an as yet unnamed age that I would call ""The Systemic Era."" What I mean by this is that we are now at a point where the human condition is much more influenced by vast social and economic systems of our own collective making than by any natural forces or conditions, or any individual actions we might take, or even any individual intentions we might have.",,,,,,,,,,,,,,
6,Appreciation,Appreciation,0,,,,,,appreciation/,Index,index,Appreciations Index,,,,,,,,,,,,,,,,,
7,Quotes,Quotation,0,,,,,,quotes/,Index,index,Index,,,,,,,,,,,,,,,,,
8,News,News Item,0,,,,,,news/,Index,index,Index,,,,,,,,,,,,,,,,,
9,Links,Link,0,,,,,,links/,Index,index,Index,,,,,,,,,,,,,,,,,
9,Links,Link,0,,,,,,links/,Index by Title,index by title,Index by Title,,,,,,,,,,,,,,,,,
10,Follow,Follow,0,,,,,,follow/,Index,index,Index,,,,,,,,,,,,,,,,,
11,Search,Search Page,0,,,,,,search/,Search,search,Search,,,,,,,,,,,,,,,,,
12,Explore,Explore,0,,,,,,explore/,Index,index,Explore our Site,,,,,,,,,,,,,,,,,
12,Explore,Explore,1,,,,,,explore/,Latest Original Content,latest original content,Latest Original Content,,,,,,,,,,,,,,,,,
12,Explore,Explore,2,,,,,,explore/,Latest Content,latest content,Latest Content of All Types,,,,,,,,,,,,,,,,,
12,Explore,Explore,3,,,,,,explore/,Site Index,Site Index,Site Index,,,,,,,,,,,,,,,,,
13,Perspective,Perspective,0,,,,,,perspective/,Index,index,Index of Practopian Perspective Issues,,,,,,,,,,,,,,,,,
14,Tags,Tags,0,,,,,,tags/,Index,index,Tags Index,,,,,,,,,,,,,,,,,
